"Internal Reference","Name","Description","Barcode","Product Category/ID","Point of Sale Category/ID","Product Type","Cost","Sales Price","Available in POS","Can be Purchased","Can be Sold"
"19151008","Bearing Needle [Hk1712] - F / Axle","Bearing Needle [Hk1712] - F / Axle","19151008","point_of_sale.00028","pos_category.2w","Storable Product","195.0","195.0","True","True","True"
"39143620","Bearing Needle [Hk2012]","Bearing Needle [Hk2012]","39143620","point_of_sale.00028","pos_category.3w","Storable Product","270.0","270.0","True","True","True"
"39145220","Bearing Needle [Hk2212] - F / Brake Panel","Bearing Needle [Hk2212] - F / Brake Panel","39145220","point_of_sale.00028","pos_category.2w","Storable Product","205.0","205.0","True","True","True"
"05101018","Bearing Needle [Nb125J815/C5] - Crankshaft","Bearing Needle [Nb125J815/C5] - Crankshaft","05101018","point_of_sale.00028","pos_category.3w","Storable Product","1210.0","1210.0","True","True","True"
"03100335","Bearing Needle [Sce188] - Mainshaft","Bearing Needle [Sce188] - Mainshaft","03100335","point_of_sale.00027","pos_category.3w","Storable Product","290.0","290.0","True","True","True"
"39177220","Bearing Needle [Sl122014]","Bearing Needle [Sl122014]","39177220","point_of_sale.00028","pos_category.3w","Storable Product","125.0","125.0","True","True","True"
"59200027","Bearing Nrb Hk 1516 (15*21*16)","Bearing Nrb Hk 1516 (15*21*16)","59200027","point_of_sale.00028","pos_category.2w","Storable Product","320.0","320.0","True","True","True"
"BF561020","Bearing Plain","Bearing Plain","BF561020","point_of_sale.00125","pos_category.2w","Storable Product","100.0","100.0","True","True","True"
"30181009","Bearing Race","Bearing Race","30181009","point_of_sale.00028","pos_category.2w","Storable Product","360.0","360.0","True","True","True"
"07181004","Bearing Race","Bearing Race","07181004","point_of_sale.00028","pos_category.3w","Storable Product","320.0","320.0","True","True","True"
"14181010","Bearing Race","Bearing Race","14181010","point_of_sale.00028","pos_category.2w","Storable Product","260.0","260.0","True","True","True"
"FA181050","Bearing Race","Bearing Race","FA181050","point_of_sale.00028","pos_category.2w","Storable Product","230.0","230.0","True","True","True"
"01180128","Bearing Race","Bearing Race","01180128","point_of_sale.00028","pos_category.3w","Storable Product","340.0","340.0","True","True","True"
"CF181004","Bearing Race - Lower","Bearing Race - Lower","CF181004","point_of_sale.00104","pos_category.2w","Storable Product","370.0","370.0","True","True","True"
"DG181047","Bearing Race - Lower","Bearing Race - Lower","DG181047","point_of_sale.00291","pos_category.2w","Storable Product","340.0","340.0","True","True","True"
"AL181004","Bearing Race - Lower :- Inner","Bearing Race - Lower :- Inner","AL181004","point_of_sale.00028","pos_category.3w","Storable Product","810.0","810.0","True","True","True"
"AL181003","Bearing Race - Lower :- Outer","Bearing Race - Lower :- Outer","AL181003","point_of_sale.00028","pos_category.3w","Storable Product","1130.0","1130.0","True","True","True"
"AB181016","Bearing Race - Up Inn","Bearing Race - Up Inn","AB181016","point_of_sale.00028","pos_category.3w","Storable Product","560.0","560.0","True","True","True"
