දිනය,ගෙවීම් ක්‍රමය,බිල්පත් අංකය,පාරිභෝගිකයා ,රිටන් බිල්පත් අංකය,Order/Order Lines/Product,Order/Order Lines/Quantity,Order/Order Lines/Discount (%),Order/Order Lines/Subtotal w/o Tax,මුදල්
2021-09-15 13:08:29,මුදල්,Order 00429-001-0007,FALSE,,[DM101139] Gasket (Gen. Cover),1,15,187,190
2021-09-15 13:06:02,මුදල්,Order 00429-001-0006,FALSE,,[39103519] Oil Seal Valve,2,15,306,5940
,,,,,[36DD4002] Kit Gasket Ct100,1,15,518.5,
,,,,,[DM101140] Gasket (Clutch),1,15,340,
,,,,,[36DU1001] Kit - O'Ring Cylinder Head,1,15,467.5,
,,,,,[36DD4008] Kit Plate Clutch  ( Dd101480 ),1,15,1453.5,
,,,,,[36311028] Valve Kit Caliber,1,15,1725.5,
,,,,,[DF121003] Pump Assy,1,15,1130.5,
2021-09-15 12:58:36,මුදල්,Order 00429-001-0005,FALSE,,[36JZ0002] Kit Blk/Pst Asly Disco H,1,0,10900,14960
,,,,,[39201719] Oil Seal Valve,2,15,340,
,,,,,[DS101036] Cam-Chain :-24-94L,1,15,1190,
,,,,,[JD511010] Gasket Head Cover,1,15,510,
,,,,,[JD521002] Gasket Cylinder Block,1,15,221,
,,,,,[JZ511016] Gasket Cylinder Head,1,15,629,
,,,,,[JA541212] Gasket Clutch Cover,1,15,272,
,,,,,[BGO20W50C] Bajaj Genuine Oil 20W 50 Can 1L,1,0,900,
2021-09-15 12:52:08,මුදල්,Order 00429-001-0004,FALSE,,[52JB0231] Cylinder Block & Piston Assly Disco Sp,1,17,7860.1,23030
,,,,,[JY551402] Clutch One Way Assly,1,17,6897.3,
,,,,,[36DK0076] Kit Starter Clutch Assembly Dk101595,1,17,4332.6,
,,,,,[36PA0042] Kit Chain Sprocket Disco M Fx,1,17,3942.5,
2021-09-15 12:50:05,මුදල්,Order 00429-001-0003,FALSE,,[36DK0076] Kit Starter Clutch Assembly Dk101595,1,17,4332.6,24000
