ID,Product/Product/ID,Point of Sale Category,Internal Reference,Quantity On Hand,Sales Price,Cost,Updated Sales Price,Updated Cost,Status
18783,__export__.product_product_18780_3b3718fd,Bajaj / 2W,JD181203,0.0,4000.0,4000.0,,,
23478,__export__.product_product_23475_80955ad7,Bajaj / 2W,JL181005,0.0,5290.0,5290.0,,,
23798,__export__.product_product_23795_e4218827,Bajaj / 2W,JL78015N,0.0,4995.0,4995.0,,,
23800,__export__.product_product_23797_1d3e9649,Bajaj / 2W,JL78015Q,0.0,5770.0,5770.0,,,
23799,__export__.product_product_23796_b214ad04,Bajaj / 2W,JL78015P,0.0,3570.0,3570.0,,,
23797,__export__.product_product_23794_3d59e0a5,Bajaj / 2W,JL78015M,0.0,6070.0,6070.0,,,
13879,__export__.product_product_13876_55aa2af5,Bajaj / 2W,56JL10X3,0.0,7670.0,7670.0,,,
13878,__export__.product_product_13875_016c5d96,Bajaj / 2W,56JL105Y,0.0,5600.0,5600.0,,,
13877,__export__.product_product_13874_304d6213,Bajaj / 2W,56JL105N,0.0,26850.0,26850.0,,,
13180,__export__.product_product_13177_000d0a9f,Bajaj / 2W,52DU0625,0.0,4680.0,4680.0,,,
13750,__export__.product_product_13747_0eca89b8,Bajaj / 2W,52PF1160,0.0,6020.0,6020.0,,,
17123,__export__.product_product_17120_a8efeeb9,Bajaj / 2W,DT181256,0.0,1720.0,1720.0,,,
23487,__export__.product_product_23484_23d76808,Bajaj / 2W,JL181214,0.0,1420.0,1420.0,,,
17111,__export__.product_product_17108_9ab60ecf,Bajaj / 2W,DT181210,3.0,1080.0,1080.0,,,
13664,__export__.product_product_13661_d247427f,Bajaj / 2W,52PA0533,0.0,3510.0,3510.0,,,
13663,__export__.product_product_13660_10dbf4bf,Bajaj / 2W,52PA0532,0.0,9310.0,9310.0,,,
13593,__export__.product_product_13590_13869932,Bajaj / 2W,52JZ0631,0.0,6185.0,6185.0,,,
13592,__export__.product_product_13589_8f61ce2e,Bajaj / 2W,52JZ0630,0.0,12140.0,12140.0,,,
15408,__export__.product_product_15405_0e625d9e,Bajaj / 2W,DI2W052,0.0,2000.0,2000.0,,,
22492,__export__.product_product_22489_3760e4fb,Bajaj / 2W,JF233021,0.0,70.0,70.0,,,
15203,__export__.product_product_15200_66ab927b,Bajaj / 2W,DH161460,0.0,3400.0,3400.0,,,
15204,__export__.product_product_15201_7064f0be,Bajaj / 2W,DH161461,0.0,3330.0,3330.0,,,
15445,__export__.product_product_15442_958ae740,Bajaj / 2W,DI2W089,0.0,1500.0,1500.0,,,
18614,__export__.product_product_18611_141bc430,Bajaj / 2W,JC161019,0.0,660.0,660.0,,,
18615,__export__.product_product_18612_f35ea906,Bajaj / 2W,JC161020,0.0,630.0,630.0,,,
18835,__export__.product_product_18832_d45cf064,Bajaj / 2W,JD233014,0.0,100.0,100.0,,,
22491,__export__.product_product_22488_d97c9db8,Bajaj / 2W,JF233018,0.0,50.0,50.0,,,
