External ID,Internal Reference,Sales Price,Cost
__export__.product_template_50367_4fd915ca,36AU0001,18600.0,18600.0
__export__.product_template_50368_2b7a61ce,AF101277,22390.0,22390.0
__export__.product_template_50369_8992b91d,RA511202,1890.0,1890.0
__export__.product_template_50370_072d6815,CMU24191092,1170.0,1170.0
__export__.product_template_50371_6183f11a,CMU24191059,700.0,700.0
__export__.product_template_50372_b7d4d6e1,R56DK05X3,5020.0,5020.0
__export__.product_template_50567_d7209cdb,CMUBG131802,1410.0,1410.0
__export__.product_template_50827_e1d07c2e,CMU24190216,880.0,880.0
__export__.product_template_50829_5e9335d7,CMUDD191019,835.0,835.0
__export__.product_template_50830_59a2712e,CMU24150501,1860.0,1860.0
__export__.product_template_50831_b8d73034,AA201570,1730.0,1730.0
__export__.product_template_50855_321ccd42,36172201,3030.0,3030.0
__export__.product_template_50954_0b8ed091,CMUAA191068,770.0,770.0
__export__.product_template_50955_e8fa9793,CMUDU191041,985.0,985.0
__export__.product_template_50956_fb332189,CMUAA191010,820.0,820.0
__export__.product_template_50957_651cd942,CMUDZ191014,955.0,955.0
__export__.product_template_50966_0fd49d7d,CMUAA191091,720.0,720.0
__export__.product_template_50967_0f95d4cf,CMUAA191092,1350.0,1350.0
__export__.product_template_50968_02a8334e,CMUAA191093,1180.0,1180.0
__export__.product_template_50969_6071c17a,CMUAA191094,1180.0,1180.0
__export__.product_template_50970_de0232ae,CMUAZ161212,1220.0,1220.0
__export__.product_template_51118_9fc1f37c,CMUDJ191061,835.0,835.0
__export__.product_template_51119_0878f021,CMUAA191073,715.0,715.0
__export__.product_template_51120_507aa37c,CMUDM191002,605.0,605.0
__export__.product_template_51143_5cd27219,CMUDJ191008,620.0,620.0
__export__.product_template_51144_9ddca315,CMUJZ161207,690.0,690.0
__export__.product_template_51145_09319f96,JL541277,680.0,680.0
__export__.product_template_51185_4998b733,CMU24151060,920.0,920.0
__export__.product_template_51186_01201ee0,CMUDU191048,770.0,770.0
__export__.product_template_51187_e986811f,CMU24191137,505.0,505.0
__export__.product_template_51188_2d160bc2,CMUDU191005,865.0,865.0
__export__.product_template_51189_ff5318dd,CMUDU191058,770.0,770.0
__export__.product_template_51190_c8d3ef69,CMUPF161212,905.0,905.0
__export__.product_template_51191_c48c55fa,CMU24151058,1430.0,1430.0
__export__.product_template_51192_fa1b6b3f,CMU24151059,965.0,965.0
__export__.product_template_51193_cfa6cec5,CMUJF161201,900.0,900.0
__export__.product_template_51194_ae9d6efe,CMUJC191004,920.0,920.0
__export__.product_template_51195_2e8a3d1c,SVA0030,22.0,22.0
__export__.product_template_51196_241dec7a,SVA0033,260.0,260.0
__export__.product_template_51197_f34af0c5,SVA0040,62.0,62.0
__export__.product_template_51198_c706f6a3,SVA0029,62.0,62.0
__export__.product_template_51199_e8539b46,SVA0031,22.0,22.0
__export__.product_template_51200_30c610f8,SVA0034,165.0,165.0
__export__.product_template_51201_7800b046,SVA0038,580.0,580.0
__export__.product_template_51202_d99bb517,SVA0028,105.0,105.0
__export__.product_template_51203_6ed0de1b,SVA0037,170.0,170.0
__export__.product_template_51204_09e651ee,SVA0041,395.0,395.0
__export__.product_template_51270_bb6fb377,CMUDS191013,545.0,545.0
__export__.product_template_51271_1ef2fb44,KHCA0432,35.0,35.0
__export__.product_template_51282_060e48f3,SVA0039,1900.0,1900.0
__export__.product_template_51283_248b0b3f,CMUJZ161200,1005.0,1005.0
__export__.product_template_51284_368440b5,CMUJK161200,625.0,625.0
point_of_sale.01100315,01100315,35.0,35.0
point_of_sale.01100316,01100316,15.0,15.0
point_of_sale.01100323,01100323,5.0,5.0
point_of_sale.01100326,01100326,65.0,65.0
point_of_sale.01100339,01100339,115.0,115.0
point_of_sale.01100341,01100341,115.0,115.0
point_of_sale.01100342,01100342,1440.0,1440.0
point_of_sale.01100342K,01100342K,3130.0,3130.0
point_of_sale.01100355,01100355,510.0,510.0
point_of_sale.01100404,01100404,10.0,10.0
point_of_sale.01100610,01100610,105.0,105.0
point_of_sale.01100611,01100611,95.0,95.0
point_of_sale.01100612,01100612,55.0,55.0
point_of_sale.01100613,01100613,135.0,135.0
point_of_sale.01100614,01100614,75.0,75.0
point_of_sale.01100615,01100615,60.0,60.0
point_of_sale.01100711,01100711,425.0,425.0
point_of_sale.01100713,01100713,445.0,445.0
point_of_sale.01100714,01100714,340.0,340.0
